timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,symbol
2017-08-02,0.7,0.7,0.082,0.23,55.053,1501718399999.0,12.45286213,110.0,29.734,8.47195566,2965.056253,
2017-08-03,0.2,0.2599,0.12,0.12,36.045,1501804799999.0,5.80043145,70.0,0.868,0.18447002,2965.056253,
2017-08-04,0.120001,0.12006,0.093501,0.093501,4.803,1501891199999.0,0.54854649,13.0,0.818,0.07648381,2965.056253,
2017-08-05,0.0935,0.0935,0.08,0.08,4.519,1501977599999.0,0.40701559,16.0,1.013,0.08344,2965.056253,
2017-08-06,0.055,0.08,0.055,0.0561,7.907,1502063999999.0,0.43941234,7.0,0.125,0.01,2965.056253,
2017-08-07,0.0691,0.101,0.0691,0.099999,25.787,1502150399999.0,2.52398595,23.0,23.412,2.33577353,2965.056253,
2017-08-08,0.099999,0.101,0.0781,0.099999,22.416,1502236799999.0,2.21163914,22.0,8.668,0.86679102,2965.056253,
2017-08-09,0.080001,0.082004,0.080001,0.082004,9.115,1502323199999.0,0.74521019,4.0,0.0,0.0,2965.056253,
2017-08-10,0.082004,0.1,0.082004,0.082006,8.682,1502409599999.0,0.75595477,14.0,2.469,0.24630598,2965.056253,
2017-08-11,0.082006,0.15,0.082005,0.082005,18.646,1502495999999.0,1.71900098,25.0,15.372,1.43620134,2965.056253,
2017-08-12,0.082005,0.09,0.082005,0.082005,7.706,1502582399999.0,0.63770291,6.0,0.722,0.06498,2965.056253,
2017-08-13,0.082005,0.082005,0.082005,0.082005,5.889,1502668799999.0,0.48292744,3.0,0.0,0.0,2965.056253,
2017-08-14,0.082005,0.16,0.082005,0.082006,16.855,1502755199999.0,1.79949774,23.0,2.865,0.40679198,2965.056253,
2017-08-15,0.082006,0.082006,0.082006,0.082006,1.066,1502841599999.0,0.08741839,3.0,0.0,0.0,2965.056253,
2017-08-16,0.082006,0.082006,0.051,0.051,2.249,1502927999999.0,0.12220412,3.0,0.0,0.0,2965.056253,
