timestamp,open,high,low,close,symbol
2018-07-05,7e-06,7e-06,2.72e-06,3.04e-06,
2018-07-06,3.04e-06,3.04e-06,2.23e-06,2.48e-06,
2018-07-07,2.49e-06,2.57e-06,2.26e-06,2.4e-06,
2018-07-08,2.39e-06,3.34e-06,2.33e-06,2.94e-06,
2018-07-09,2.94e-06,3.71e-06,2.89e-06,3.22e-06,
2018-07-10,3.22e-06,3.27e-06,2.48e-06,2.7e-06,
2018-07-11,2.7e-06,2.82e-06,2.46e-06,2.55e-06,
2018-07-12,2.54e-06,2.71e-06,2.28e-06,2.47e-06,
2018-07-13,2.47e-06,3.09e-06,2.44e-06,2.59e-06,
2018-07-14,2.59e-06,2.7e-06,2.41e-06,2.46e-06,
2018-07-15,2.46e-06,2.66e-06,2.41e-06,2.49e-06,
2018-07-16,2.5e-06,2.52e-06,2.32e-06,2.33e-06,
2018-07-17,2.33e-06,2.46e-06,2.25e-06,2.34e-06,
2018-07-18,2.35e-06,2.58e-06,2.05e-06,2.14e-06,
2018-07-19,2.14e-06,2.3e-06,1.92e-06,1.97e-06,
2018-07-20,1.98e-06,1.98e-06,1.78e-06,1.9e-06,
2018-07-21,1.9e-06,2.12e-06,1.8e-06,1.95e-06,
2018-07-22,1.97e-06,2.12e-06,1.92e-06,1.94e-06,
2018-07-23,1.94e-06,2e-06,1.78e-06,1.8e-06,
2018-07-24,1.81e-06,2.05e-06,1.65e-06,1.68e-06,
2018-07-25,1.68e-06,1.82e-06,1.62e-06,1.76e-06,
2018-07-26,1.77e-06,1.84e-06,1.6e-06,1.68e-06,
2018-07-27,1.68e-06,1.91e-06,1.64e-06,1.81e-06,
2018-07-28,1.8e-06,2.01e-06,1.78e-06,1.87e-06,
2018-07-29,1.87e-06,1.95e-06,1.82e-06,1.91e-06,
2018-07-30,1.91e-06,1.91e-06,1.67e-06,1.73e-06,
2018-07-31,1.73e-06,1.89e-06,1.69e-06,1.76e-06,
2018-08-01,1.76e-06,1.8e-06,1.68e-06,1.72e-06,
2018-08-02,1.72e-06,1.83e-06,1.56e-06,1.64e-06,
2018-08-03,1.63e-06,1.64e-06,1.42e-06,1.47e-06,
2018-08-04,1.47e-06,1.52e-06,1.4e-06,1.46e-06,
2018-08-05,1.46e-06,1.58e-06,1.44e-06,1.5e-06,
2018-08-06,1.5e-06,1.51e-06,1.4e-06,1.41e-06,
2018-08-07,1.41e-06,1.43e-06,1.29e-06,1.31e-06,
2018-08-08,1.31e-06,1.32e-06,1.16e-06,1.21e-06,
2018-08-09,1.21e-06,1.24e-06,1.15e-06,1.18e-06,
2018-08-10,1.18e-06,1.19e-06,1.03e-06,1.05e-06,
2018-08-11,1.05e-06,1.06e-06,9.2e-07,9.5e-07,
2018-08-12,9.5e-07,9.6e-07,8.8e-07,8.9e-07,
2018-08-13,8.9e-07,1.01e-06,7.6e-07,7.8e-07,
2018-08-14,7.8e-07,7.9e-07,6.6e-07,7.3e-07,
2018-08-15,7.2e-07,8.5e-07,7.2e-07,7.4e-07,
2018-08-16,7.4e-07,1.04e-06,7.4e-07,8.3e-07,
2018-08-17,8.3e-07,1.08e-06,8.2e-07,1.03e-06,
2018-08-18,1.03e-06,1.04e-06,8.4e-07,9.4e-07,
2018-08-19,9.5e-07,1.06e-06,9e-07,1.01e-06,
2018-08-20,1.01e-06,1.04e-06,8.7e-07,9.2e-07,
2018-08-21,9.2e-07,9.6e-07,8.8e-07,9.2e-07,
2018-08-22,9.1e-07,9.6e-07,8.1e-07,8.3e-07,
2018-08-23,8.4e-07,9.2e-07,8.3e-07,8.9e-07,
2018-08-24,8.9e-07,9.3e-07,8.5e-07,8.7e-07,
2018-08-25,8.7e-07,9e-07,8.5e-07,9e-07,
2018-08-26,8.9e-07,9.6e-07,8.5e-07,9.4e-07,
2018-08-27,9.3e-07,1.15e-06,9e-07,1.13e-06,
2018-08-28,1.13e-06,1.23e-06,1.07e-06,1.2e-06,
2018-08-29,1.2e-06,1.3e-06,1.06e-06,1.14e-06,
2018-08-30,1.14e-06,1.16e-06,1.02e-06,1.12e-06,
2018-08-31,1.11e-06,1.33e-06,1.09e-06,1.31e-06,
2018-09-01,1.31e-06,1.37e-06,1.25e-06,1.32e-06,
2018-09-02,1.32e-06,1.36e-06,1.22e-06,1.3e-06,
2018-09-03,1.3e-06,1.4e-06,1.22e-06,1.38e-06,
2018-09-04,1.39e-06,1.4e-06,1.28e-06,1.3e-06,
2018-09-05,1.3e-06,1.31e-06,1e-06,1.03e-06,
2018-09-06,1.02e-06,1.1e-06,9.4e-07,1.06e-06,
2018-09-07,1.06e-06,1.09e-06,9.6e-07,9.8e-07,
2018-09-08,9.8e-07,1.02e-06,8.9e-07,9.2e-07,
2018-09-09,9.2e-07,9.7e-07,8.6e-07,9.2e-07,
2018-09-10,9.2e-07,9.5e-07,8.7e-07,9.1e-07,
2018-09-11,9.1e-07,9.3e-07,8e-07,8.4e-07,
2018-09-12,8.4e-07,8.9e-07,7.7e-07,8.7e-07,
2018-09-13,8.7e-07,9.6e-07,8.6e-07,9.2e-07,
2018-09-14,9.1e-07,1.55e-06,9e-07,1.1e-06,
2018-09-15,1.1e-06,1.41e-06,1.09e-06,1.33e-06,
2018-09-16,1.32e-06,1.46e-06,1.25e-06,1.28e-06,
2018-09-17,1.29e-06,1.29e-06,1.11e-06,1.14e-06,
2018-09-18,1.14e-06,1.2e-06,1.12e-06,1.14e-06,
2018-09-19,1.14e-06,1.15e-06,1.06e-06,1.09e-06,
2018-09-20,1.09e-06,1.14e-06,1.06e-06,1.1e-06,
2018-09-21,1.1e-06,1.2e-06,1.03e-06,1.12e-06,
2018-09-22,1.11e-06,1.13e-06,1.02e-06,1.04e-06,
2018-09-23,1.05e-06,1.15e-06,1.04e-06,1.12e-06,
2018-09-24,1.13e-06,1.14e-06,1.05e-06,1.07e-06,
2018-09-25,1.07e-06,1.18e-06,1.02e-06,1.1e-06,
2018-09-26,1.11e-06,1.13e-06,1.06e-06,1.08e-06,
2018-09-27,1.08e-06,1.1e-06,1.04e-06,1.08e-06,
2018-09-28,1.08e-06,1.09e-06,1.04e-06,1.06e-06,
2018-09-29,1.06e-06,1.1e-06,1.05e-06,1.06e-06,
2018-09-30,1.07e-06,1.17e-06,1.06e-06,1.08e-06,
2018-10-01,1.09e-06,1.15e-06,1.08e-06,1.13e-06,
2018-10-02,1.13e-06,1.28e-06,1.12e-06,1.18e-06,
2018-10-03,1.18e-06,1.24e-06,1.1e-06,1.19e-06,
2018-10-04,1.19e-06,1.32e-06,1.18e-06,1.2e-06,
2018-10-05,1.2e-06,1.25e-06,1.17e-06,1.21e-06,
2018-10-06,1.21e-06,1.22e-06,1.13e-06,1.15e-06,
2018-10-07,1.15e-06,1.2e-06,1.14e-06,1.18e-06,
2018-10-08,1.17e-06,1.2e-06,1.15e-06,1.17e-06,
2018-10-09,1.16e-06,1.17e-06,1.12e-06,1.13e-06,
2018-10-10,1.13e-06,1.22e-06,1.08e-06,1.16e-06,
2018-10-11,1.16e-06,1.17e-06,1e-06,1.03e-06,
2018-10-12,1.02e-06,1.06e-06,9.6e-07,1.02e-06,
2018-10-13,1.03e-06,1.08e-06,1.01e-06,1.07e-06,
