timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-07-14,0.08,0.091033,0.08,0.090993,1942.057,1500076799999.0,170.23852396,1994.0,1076.405,94.82527222,22262.26697743
2017-07-15,0.090993,0.093699,0.087127,0.087635,4013.066,1500163199999.0,363.03178785,4623.0,2250.318,203.54149755,22275.36801826
2017-07-16,0.087508,0.087635,0.075591,0.082241,8904.158,1500249599999.0,722.21248196,8137.0,5557.575,450.34388688,22295.47295841
2017-07-17,0.082368,0.088394,0.081699,0.087537,6650.933,1500335999999.0,568.24653804,7639.0,3859.485,329.66875309,22165.74281157
2017-07-18,0.087831,0.109068,0.084777,0.107732,7245.741,1500422399999.0,674.49785037,8121.0,4202.055,393.11140275,22505.62469176
2017-07-19,0.107732,0.108732,0.08429,0.086853,7384.976,1500508799999.0,723.00911562,8314.0,4794.262,468.26023838,22694.83280054
2017-07-20,0.087144,0.095252,0.074982,0.080509,6395.16,1500595199999.0,564.01770441,6535.0,4266.261,375.19828457,22680.25672156
2017-07-21,0.080383,0.087511,0.079635,0.081581,7434.389,1500681599999.0,618.20894652,7839.0,4604.947,382.99257488,22725.62782143
2017-07-22,0.081586,0.084733,0.079856,0.082474,7979.899,1500767999999.0,651.60703581,8841.0,4460.358,364.37225928,22661.58158102
2017-07-23,0.082312,0.08456,0.081417,0.083533,6340.799,1500854399999.0,527.55598124,7032.0,3714.152,309.05616001,22494.29294971
2017-07-24,0.083438,0.083973,0.082265,0.083161,7380.244,1500940799999.0,612.72702417,8346.0,3931.116,326.44455142,22474.16443102
2017-07-25,0.083149,0.083149,0.075482,0.079654,7845.032,1501027199999.0,634.98369428,8099.0,4588.865,371.28600482,22508.98528992
2017-07-26,0.079676,0.081172,0.07761,0.079892,7496.738,1501113599999.0,599.43177658,8700.0,4326.597,345.79967266,25796.90357168
2017-07-27,0.079815,0.081867,0.077059,0.077449,8311.206,1501199999999.0,667.17746185,9001.0,4442.543,356.68582013,25618.59992375
2017-07-28,0.077059,0.077859,0.066827,0.068802,11013.824,1501286399999.0,790.35738935,11121.0,5919.016,425.02549738,25589.59179554
2017-07-29,0.068797,0.076814,0.064335,0.075773,14305.369,1501372799999.0,982.45449195,13734.0,7259.966,498.44887227,25845.85312057
2017-07-30,0.076009,0.076684,0.069876,0.070109,12989.765,1501459199999.0,952.079687,13038.0,6641.977,486.80260453,25973.49745228
2017-07-31,0.070406,0.073341,0.06759,0.072484,12029.45,1501545599999.0,857.24421228,12674.0,6058.304,431.74541787,25543.75751672
2017-08-01,0.072459,0.08526,0.07237,0.083568,13623.227,1501631999999.0,1070.58897241,12474.0,6716.243,527.65028424,25752.88474734
2017-08-02,0.083568,0.084967,0.07963,0.08016,13678.63,1501718399999.0,1115.12601961,13297.0,6878.69,560.98509007,26180.31477711
2017-08-03,0.080168,0.083795,0.078277,0.078965,11389.116,1501804799999.0,919.3144725,12318.0,5792.358,467.60784097,26410.13557257
2017-08-04,0.078965,0.08071,0.076332,0.076475,12523.985,1501891199999.0,981.51828688,13124.0,6230.743,488.40851988,26198.63722539
2017-08-05,0.076563,0.079322,0.071325,0.07916,12348.255,1501977599999.0,944.28885525,12351.0,6213.194,474.98887142,25982.58680144
2017-08-06,0.07916,0.083151,0.07851,0.081029,13069.284,1502063999999.0,1052.56125721,13121.0,6764.025,544.75007561,27058.31831125
2017-08-07,0.081029,0.082475,0.079547,0.081171,13667.775,1502150399999.0,1107.69611104,13657.0,6659.372,539.81376919,27612.02406809
