timestamp,open,high,low,close,volume,symbol
2020-09-11,10.00000000,11.34000000,9.67200000,10.82700000,16180.64000000,DOTUPUSDT
2020-09-12,11.02300000,14.17200000,10.34400000,13.46100000,70120.19000000,DOTUPUSDT
2020-09-13,13.52500000,15.34200000,10.98900000,13.95500000,107715.21000000,DOTUPUSDT
2020-09-14,13.80300000,15.37400000,12.62400000,13.97800000,81206.60000000,DOTUPUSDT
2020-09-15,14.38900000,14.60000000,12.50100000,12.53900000,57900.20000000,DOTUPUSDT
2020-09-16,12.51000000,13.54500000,12.09100000,12.46300000,45903.26000000,DOTUPUSDT
2020-09-17,12.57100000,14.23900000,12.54800000,13.83300000,26914.12000000,DOTUPUSDT
2020-09-18,13.70000000,14.37200000,12.59000000,13.37400000,29145.52000000,DOTUPUSDT
2020-09-19,13.33900000,13.34000000,11.11000000,11.68300000,13144.66000000,DOTUPUSDT
2020-09-20,11.61100000,11.73900000,9.05700000,10.17000000,50666.86000000,DOTUPUSDT
2020-09-21,10.26100000,10.50000000,6.77800000,7.40000000,472084.12000000,DOTUPUSDT
2020-09-22,7.45400000,8.01100000,6.80900000,7.81200000,116160.99000000,DOTUPUSDT
2020-09-23,7.87500000,8.50000000,6.90000000,7.20800000,104085.83000000,DOTUPUSDT
2020-09-24,7.19700000,9.14100000,7.05000000,8.81500000,127432.39000000,DOTUPUSDT
2020-09-25,8.78500000,9.43000000,8.13600000,8.83600000,61134.46000000,DOTUPUSDT
2020-09-26,8.89600000,9.19300000,8.03100000,8.45000000,43997.59000000,DOTUPUSDT
2020-09-27,8.49000000,8.62400000,7.61000000,8.46400000,33210.08000000,DOTUPUSDT
2020-09-28,8.34100000,9.55900000,8.15300000,8.91400000,103193.68000000,DOTUPUSDT
2020-09-29,8.92300000,9.67200000,8.58800000,9.10300000,77964.99000000,DOTUPUSDT
2020-09-30,9.09400000,9.10700000,8.15100000,8.53300000,40316.66000000,DOTUPUSDT
2020-10-01,8.62000000,9.55000000,8.11100000,8.54000000,84054.26000000,DOTUPUSDT
2020-10-02,8.47800000,8.57300000,6.52400000,7.51200000,61873.40000000,DOTUPUSDT
2020-10-03,7.48800000,7.61200000,7.21600000,7.39100000,32229.30000000,DOTUPUSDT
2020-10-04,7.34100000,7.80000000,7.12200000,7.71700000,22847.25000000,DOTUPUSDT
2020-10-05,7.70200000,7.97300000,7.51000000,7.69000000,78682.02000000,DOTUPUSDT
2020-10-06,7.73800000,7.74800000,5.59700000,6.30000000,183157.90000000,DOTUPUSDT
2020-10-07,6.24000000,6.98000000,5.57200000,6.79300000,111653.77000000,DOTUPUSDT
2020-10-08,6.77000000,8.44000000,5.75000000,8.13800000,115254.22000000,DOTUPUSDT
2020-10-09,8.01700000,9.44100000,7.61800000,8.95100000,78810.34000000,DOTUPUSDT
2020-10-10,8.99200000,10.23500000,8.70100000,8.89500000,36915.95000000,DOTUPUSDT
2020-10-11,8.93200000,9.34400000,8.35000000,8.89500000,37164.34000000,DOTUPUSDT
2020-10-12,8.79900000,10.02000000,8.54100000,9.15000000,57438.37000000,DOTUPUSDT
2020-10-13,9.15100000,9.36000000,8.11900000,8.76500000,38674.12000000,DOTUPUSDT
2020-10-14,8.76400000,9.57000000,7.83800000,8.43100000,58521.23000000,DOTUPUSDT
2020-10-15,8.33000000,8.36500000,7.48600000,7.95200000,49981.47000000,DOTUPUSDT
2020-10-16,7.93400000,8.24000000,6.17300000,6.76000000,140453.92000000,DOTUPUSDT
2020-10-17,6.71900000,7.06500000,6.48600000,7.00800000,36149.90000000,DOTUPUSDT
2020-10-18,6.95100000,7.70400000,6.95000000,7.63600000,61464.80000000,DOTUPUSDT
2020-10-19,7.63200000,7.63200000,6.93300000,7.07900000,69968.60000000,DOTUPUSDT
2020-10-20,7.07200000,7.77900000,6.50600000,6.69700000,92440.88000000,DOTUPUSDT
2020-10-21,6.67400000,8.22900000,6.67400000,7.71500000,113109.84000000,DOTUPUSDT
2020-10-22,7.73400000,8.54700000,7.64200000,8.29800000,122059.23000000,DOTUPUSDT
2020-10-23,8.25900000,9.06600000,7.98500000,8.25200000,109726.77000000,DOTUPUSDT
2020-10-24,8.24300000,8.93800000,8.15000000,8.62100000,75032.64000000,DOTUPUSDT
2020-10-25,8.60200000,8.96700000,8.20100000,8.52800000,61177.76000000,DOTUPUSDT
2020-10-26,8.51000000,10.10700000,8.36900000,9.88700000,150283.92000000,DOTUPUSDT
2020-10-27,9.92900000,10.80000000,9.22400000,9.47100000,186089.84000000,DOTUPUSDT
2020-10-28,9.34200000,10.09800000,6.79200000,7.19700000,211930.53000000,DOTUPUSDT
2020-10-29,7.19900000,7.39000000,5.54200000,6.16300000,282401.76000000,DOTUPUSDT
2020-10-30,6.24000000,6.49700000,5.82800000,6.28800000,260008.57000000,DOTUPUSDT
2020-10-31,6.25500000,6.86200000,6.21200000,6.55100000,183210.52000000,DOTUPUSDT
2020-11-01,6.49200000,6.67400000,6.21300000,6.65000000,68592.72000000,DOTUPUSDT
2020-11-02,6.69000000,6.86100000,5.67500000,5.94500000,173436.25000000,DOTUPUSDT
2020-11-03,5.95100000,6.07100000,5.35100000,5.92300000,202992.38000000,DOTUPUSDT
2020-11-04,5.92100000,6.39500000,5.39700000,6.20700000,180563.47000000,DOTUPUSDT
2020-11-05,6.22300000,6.98400000,5.87200000,6.71000000,135576.25000000,DOTUPUSDT
2020-11-06,6.71700000,8.39300000,6.62100000,8.13800000,57358.38000000,DOTUPUSDT
2020-11-07,8.16700000,9.30000000,5.90300000,6.52200000,270550.54000000,DOTUPUSDT
2020-11-08,6.54000000,7.30600000,6.12000000,7.05400000,96886.79000000,DOTUPUSDT
2020-11-09,7.06200000,7.44000000,6.57800000,6.96800000,73603.10000000,DOTUPUSDT
2020-11-10,6.94200000,7.57400000,6.82500000,7.24100000,88341.93000000,DOTUPUSDT
2020-11-11,7.34600000,8.09000000,7.24900000,7.42300000,125929.31000000,DOTUPUSDT
