timestamp,open,high,low,close,symbol
2020-04-17,105843347.00,155843347.00,22000000.00,109378068.00,BTCIDRT
2020-04-18,109378068.00,112862101.00,108350630.00,112472201.00,BTCIDRT
2020-04-19,112542050.00,112592805.00,109560175.00,110393989.00,BTCIDRT
2020-04-20,110393989.00,111894028.00,104544343.00,108092311.00,BTCIDRT
2020-04-21,107581644.00,109500000.00,106000225.00,109500000.00,BTCIDRT
2020-04-22,109137953.00,112091763.00,105000496.00,112091761.00,BTCIDRT
2020-04-23,112091761.00,119256884.00,109446855.00,117423802.00,BTCIDRT
2020-04-24,117000000.00,118066406.00,111164107.00,116143639.00,BTCIDRT
2020-04-25,116140290.00,120000000.00,115042569.00,116778247.00,BTCIDRT
2020-04-26,116734578.00,117800000.00,115062028.00,117400000.00,BTCIDRT
2020-04-27,117800000.00,120816116.00,115439060.00,120000000.00,BTCIDRT
2020-04-28,120000000.00,121043062.00,118500000.00,119200000.00,BTCIDRT
2020-04-29,119500000.00,136110510.00,119500000.00,134389293.00,BTCIDRT
2020-04-30,133171239.00,141772584.00,125607728.00,131139204.00,BTCIDRT
2020-05-01,130994857.00,135000000.00,110460000.00,131043307.00,BTCIDRT
2020-05-02,130593620.00,134035582.00,112000000.00,131439625.00,BTCIDRT
2020-05-03,134000000.00,135000000.00,129000000.00,130958297.00,BTCIDRT
2020-05-04,132443106.00,135000000.00,129349068.00,135000000.00,BTCIDRT
2020-05-05,135000000.00,137465432.00,132110541.00,137000000.00,BTCIDRT
2020-05-06,137000000.00,141687829.00,132575822.00,138826311.00,BTCIDRT
2020-05-07,137735343.00,152239529.00,137733416.00,152239529.00,BTCIDRT
2020-05-08,149385788.00,151999609.00,144583325.00,145000000.00,BTCIDRT
2020-05-09,145000000.00,147499998.00,141854591.00,142000000.00,BTCIDRT
2020-05-10,142000000.00,142000000.00,118528467.00,130190824.00,BTCIDRT
2020-05-11,133000000.00,138598010.00,122239372.00,129773336.00,BTCIDRT
2020-05-12,130642202.00,134925441.00,129677851.00,131931018.00,BTCIDRT
2020-05-13,132714600.00,139500000.00,132088604.00,137693655.00,BTCIDRT
2020-05-14,140330929.00,145400000.00,137632370.00,145238223.00,BTCIDRT
2020-05-15,145238222.00,145345500.00,136020300.00,137932107.00,BTCIDRT
2020-05-16,138580400.00,142681094.00,138000000.00,139770100.00,BTCIDRT
2020-05-17,139075901.00,147099205.00,139075900.00,142696693.00,BTCIDRT
2020-05-18,143595300.00,147600400.00,140221650.00,143510139.00,BTCIDRT
2020-05-19,142495800.00,145000000.00,139555882.00,143566000.00,BTCIDRT
2020-05-20,143566000.00,143566000.00,137046765.00,140242070.00,BTCIDRT
2020-05-21,139984400.00,141263027.00,130909083.00,134478054.00,BTCIDRT
2020-05-22,134405700.00,139214809.00,131947299.00,137155300.00,BTCIDRT
