timestamp,open,high,low,close
2018-03-24,1.04900000,1.15046000,0.78898000,0.82713000
2018-03-25,0.82852000,1.01536000,0.75198000,0.93205000
2018-03-26,0.92201000,1.01534000,0.89207000,0.94570000
2018-03-27,0.95043000,0.96127000,0.86276000,0.86276000
2018-03-28,0.86066000,0.96000000,0.80296000,0.83204000
2018-03-29,0.82946000,0.88606000,0.75104000,0.78986000
2018-03-30,0.77645000,0.79221000,0.73827000,0.74494000
2018-03-31,0.75353000,0.75587000,0.68750000,0.70548000
2018-04-01,0.70548000,0.71042000,0.64389000,0.66182000
2018-04-02,0.65119000,0.85100000,0.60038000,0.60038000
2018-04-03,0.61327000,0.68428000,0.56939000,0.60317000
2018-04-04,0.60026000,0.63199000,0.56937000,0.58191000
2018-04-05,0.58072000,0.59749000,0.54964000,0.58659000
2018-04-06,0.59228000,0.62499000,0.56316000,0.61298000
2018-04-07,0.60366000,0.63000000,0.58312000,0.59500000
2018-04-08,0.59014000,0.68829000,0.59014000,0.67674000
2018-04-09,0.68820000,0.72218000,0.62448000,0.62690000
2018-04-10,0.62692000,0.67112000,0.60290000,0.64848000
2018-04-11,0.65407000,0.71908000,0.65001000,0.69000000
2018-04-12,0.67710000,0.73900000,0.65949000,0.71800000
2018-04-13,0.71800000,0.81999000,0.68036000,0.70694000
2018-04-14,0.69865000,0.82000000,0.69865000,0.76097000
2018-04-15,0.76880000,0.83180000,0.74596000,0.81794000
2018-04-16,0.81505000,0.84700000,0.78001000,0.80931000
2018-04-17,0.81313000,0.83964000,0.78786000,0.82852000
2018-04-18,0.81603000,0.90803000,0.81469000,0.85431000
2018-04-19,0.85500000,0.92539000,0.85500000,0.92177000
2018-04-20,0.92971000,0.97549000,0.89579000,0.95712000
2018-04-21,0.96297000,0.96297000,0.81753000,0.85214000
2018-04-22,0.85410000,0.91514000,0.80175000,0.89387000
2018-04-23,0.88610000,1.02889000,0.86618000,0.94590000
2018-04-24,0.94590000,0.98549000,0.86060000,0.88814000
2018-04-25,0.88954000,0.91486000,0.82830000,0.87957000
2018-04-26,0.85747000,0.91862000,0.82000000,0.90270000
2018-04-27,0.90270000,0.93075000,0.84718000,0.84718000
2018-04-28,0.84718000,1.00000000,0.83155000,0.91112000
2018-04-29,0.90359000,1.25496000,0.90002000,1.06372000
2018-04-30,1.06355000,1.15555000,1.03410000,1.06083000
2018-05-01,1.04887000,1.10415000,1.01199000,1.08105000
2018-05-02,1.08093000,1.14077000,1.07082000,1.11244000
2018-05-03,1.11169000,1.12341000,1.05001000,1.07419000
2018-05-04,1.07419000,1.11526000,1.02417000,1.04148000
2018-05-05,1.04751000,1.07470000,1.01312000,1.03058000
2018-05-06,1.02439000,1.03192000,0.95047000,1.00556000
2018-05-07,1.00362000,1.15275000,0.97216000,1.14475000
2018-05-08,1.14467000,1.16743000,1.05676000,1.08015000
2018-05-09,1.07967000,1.09779000,0.99420000,1.01846000
2018-05-10,1.02100000,1.18000000,0.98193000,1.01497000
2018-05-11,1.01905000,1.03600000,0.93111000,0.93985000
2018-05-12,0.95014000,1.02344000,0.90674000,0.93842000
2018-05-13,0.92810000,1.03000000,0.84340000,0.99138000
2018-05-14,0.99139000,1.03453000,0.96097000,0.97836000
2018-05-15,0.97731000,1.00978000,0.92763000,0.95052000
2018-05-16,0.94974000,1.00000000,0.91946000,0.93274000
2018-05-17,0.93274000,0.94533000,0.80430000,0.83133000
2018-05-18,0.84226000,1.00000000,0.65032000,0.70670000
2018-05-19,0.70256000,0.80828000,0.66154000,0.75066000
2018-05-20,0.72396000,0.80711000,0.72396000,0.78950000
2018-05-21,0.78728000,0.78728000,0.67453000,0.68330000
2018-05-22,0.69374000,0.69584000,0.63698000,0.64000000
2018-05-23,0.64000000,0.67992000,0.61000000,0.64906000
